run_tag,number_of_clients_qos0,delay_qos0,number_of_messages_qos0,message_size_qos0,number_of_clients_qos1,delay_qos1,number_of_messages_qos1,message_size_qos1,number_of_clients_qos2,delay_qos2,number_of_messages_qos2,message_size_qos2,cpu,ram,active_window_start,active_window_end,active_window_seconds,throughput_window_bins,sent_throughput_mean,sent_throughput_median,received_throughput_mean,received_throughput_completion_percentage,received_throughput_median,message_loss,malformed_e2e_rows_skipped,cpu_mean_consumption,ram_mean_consumption,cpu_reached_maximum_capacity,ram_reached_maximum_capacity,incoming_throughput_qos0,incoming_throughput_qos1,incoming_throughput_qos2,cpu_factor_compared_to_min,ram_factor_compared_to_min,throughput_reached_maximum_capacity,message_loss_threshold_exceeded
20260603232330_0__C0100_D080_M03750_S0100_C1100_D126_M111250_S1250_C2250_D212500_M224_S2500_CPU2_RAM1g,100,80,3750,100,100,26,11250,250,250,12500,24,500,2,1g,1780550033000,1780550339000,307.0,307,24537.035830618894,25560.0,24537.035830618894,0.9600405280972504,25483.0,-2870.0,0,48.44784296028881,49.404729241877256,false,false,6250.0,19225.000000000004,83.33333333333334,3.335771608543916,7.224577282556815,False,False
20260603232330_13__C050_D013_M022500_S0250_C150_D110_M130000_S1500_C250_D250_M26000_S2100_CPU8_RAM4g,50,13,22500,250,50,10,30000,500,50,50,6000,100,8,4g,1780550109000,1780550416000,308.0,308,32439.886363636364,24240.0,32439.886363636364,0.6589566421728926,33671.0,4633515.0,0,36.28739208633094,14.808489208633095,false,false,19229.166666666668,25000.0,5000.0,2.498490022949049,2.1654824622537134,True,True
20260603232330_14__C0100_D040_M07500_S0250_C1100_D120_M115000_S1100_C2100_D2300_M2999_S2250_CPU16_RAM8g,100,40,7500,250,100,20,15000,100,100,300,999,250,16,8g,1780550112000,1780550433000,322.0,314,37083.71337579618,40696.5,37083.71337579618,0.9468182138501152,36708.0,105214.0,0,18.996766909246578,22.185393835616438,false,false,12500.0,25000.0,1666.666666666667,1.3079813638335311,3.244225700026937,True,True
20260603232330_16__C0100_D05000_M060_S0100_C150_D120_M115000_S1100_C250_D275_M23999_S2100_CPU16_RAM8g,100,5000,60,100,50,20,15000,100,50,75,3999,100,16,8g,1780550111000,1780550413000,303.0,303,15775.23102310231,15935.0,15775.23102310231,0.9900772608641616,15921.0,-145.0,0,51.169855769230765,6.838424908424908,false,false,100.0,12500.0,3333.333333333334,3.523189922577093,1.0,False,False
20260603232330_22__C050_D010_M030000_S01000_C150_D113_M122500_S11000_C2250_D2375_M2799_S2250_CPU2_RAM1g,50,10,30000,1000,50,13,22500,1000,250,375,799,250,2,1g,1780551094000,1780551418000,325.0,325,10505.926153846154,3295.0,10505.926153846154,0.22088675224906498,9902.0,10709324.0,0,25.551906779661017,71.06725423728814,false,false,25000.0,19229.166666666668,3333.333333333333,1.759321364412834,10.392342562646789,True,True
20260603232330_23__C050_D010_M030000_S0500_C150_D120_M115000_S1100_C250_D22500_M2120_S2500_CPU16_RAM8g,50,10,30000,500,50,20,15000,100,50,2500,120,500,16,8g,1780552898000,1780553212000,315.0,315,25652.825396825396,36015.0,25652.825396825396,0.6822559945964201,26748.0,3199360.0,0,26.854871710526314,6.882421052631579,false,false,25000.0,12500.0,100.0,1.8490342010993186,1.006433666348002,True,True
20260603232330_3__C050_D010_M030000_S0500_C1250_D1200_M11500_S1100_C2100_D2150_M21999_S2100_CPU2_RAM1g,50,10,30000,500,250,200,1500,100,100,150,1999,100,2,1g,1780550058000,1780550371000,314.0,314,24105.716560509554,34550.0,24105.716560509554,0.697032768014734,25704.0,2805305.0,0,38.112614436619715,50.49871478873239,false,false,25000.0,6250.0,3333.333333333334,2.624161766484952,7.3845535287692075,True,True
20260603232330_4__C0100_D020_M015000_S01000_C1100_D120_M115000_S1100_C250_D275_M23999_S2250_CPU8_RAM4g,100,20,15000,1000,100,20,15000,100,50,75,3999,250,8,4g,1780550055000,1780550381000,327.0,327,29206.403669724772,26805.0,29206.403669724772,0.5476200688073395,28579.0,6449256.0,0,23.655864898989897,50.64510101010101,false,false,25000.0,25000.0,3333.333333333334,1.6287734950404629,7.405959952518669,True,True
20260603232330_6__C0100_D026_M011250_S0250_C1250_D1100_M13000_S11000_C2250_D2187_M21599_S2250_CPU16_RAM8g,100,26,11250,250,250,100,3000,1000,250,187,1599,250,16,8g,1780550136000,1780550478000,343.0,343,9845.265306122448,8755.0,9845.265306122448,0.25644276898951457,9514.0,7996824.0,0,14.523729033546328,28.996405750798722,false,false,19225.000000000004,12500.0,6666.666666666666,1.0,4.240217029374014,True,True
20260603232330_9__C050_D040_M07500_S01000_C1100_D120_M115000_S1500_C2100_D275_M23999_S21000_CPU2_RAM1g,50,40,7500,1000,100,20,15000,500,100,75,3999,1000,2,1g,1780550120000,1780550441000,322.0,319,12417.122257053292,0.0,12417.122257053292,0.3274845430431637,12507.0,7413438.0,0,30.127311643835615,99.7851198630137,false,true,6250.0,25000.0,6666.666666666668,2.0743509861860376,14.591827971976253,True,True
20260603142535_0__C0250_D0200_M01500_S0500_C150_D120_M115000_S1500_C2250_D2375_M2799_S2250_CPU2_RAM1g,250,200,1500,500,50,20,15000,500,250,375,799,250,2,1g,1780490126000,1780490441000,316.0,316,11956.351265822785,9500.0,11956.351265822785,0.5414196799617865,10755.5,2845543.0,0,24.13930944055944,98.15881118881119,false,true,6250.0,12500.0,3333.333333333333,1.0,6.375538227379769,True,True
20260603142535_1__C0100_D080_M03750_S0100_C1100_D140_M17500_S11000_C2100_D25000_M260_S2100_CPU8_RAM4g,100,80,3750,100,100,40,7500,1000,100,5000,60,100,8,4g,1780490102000,1780490411000,310.0,310,14065.08064516129,12350.0,14065.08064516129,0.7461581244117396,14560.5,1294825.0,0,30.069564732142855,15.396160714285715,false,false,6250.0,12500.0,100.0,1.2456679759703175,1.0,True,True
20260603142535_2__C0100_D040_M07500_S01000_C1100_D15000_M160_S11000_C250_D275_M23999_S21000_CPU2_RAM1g,100,40,7500,1000,100,5000,60,1000,50,75,3999,1000,2,1g,1780490284000,1780490593000,310.0,310,11822.483870967742,16162.5,11822.483870967742,0.7419968956674315,12271.0,1114780.0,0,30.16848214285714,50.788089285714285,false,false,12500.0,100.0,3333.333333333334,1.2497657489806788,3.2987502682138983,True,True
20260603142535_4__C0250_D0200_M01500_S0100_C1100_D180_M13750_S11000_C250_D237_M27999_S2500_CPU2_RAM1g,250,200,1500,100,100,80,3750,1000,50,37,7999,500,2,1g,1780490312000,1780490632000,321.0,321,17864.158878504673,19325.0,17864.158878504673,0.9278074293099161,18243.0,15355.0,0,39.26731958762887,99.51341924398625,false,true,6250.0,6250.0,6754.166666666666,1.6266960612241452,6.463521724065287,True,True
20260604184425_0__C0100_D0114_M02625_S01000_C150_D12500_M1120_S1100_C2100_D2133_M22250_S2500_CPU4_RAM2g,100,114,2625,1000,50,2500,120,100,100,133,2250,500,4,2g,1780636398000,1780636698000,301.0,301,8214.285714285714,8240.0,8214.285714285714,0.9966777408637871,8239.0,-5000.0,0,52.300641143911434,26.519298892988928,false,false,4383.333333333334,100.0,3758.333333333333,6.3160171328842285,4.13884393662787,False,True
20260604184425_10__C0150_D042_M07000_S01000_C1100_D138_M17875_S11000_C2100_D2400_M2750_S2100_CPU2_RAM1g,150,42,7000,1000,100,38,7875,1000,100,400,750,100,2,1g,1780636470000,1780636810000,341.0,340,8951.155882352941,1310.0,8951.155882352941,0.2775552211582307,8959.5,6519107.0,0,23.365755627009648,99.71319935691318,false,true,17850.0,13150.0,1250.0,2.821734296849233,15.562152386661833,True,True
